,category,company
422,plus_five,CAG
423,minus_ten,CXO
424,minus_ten,CNNX
425,plus_five,CNMD
426,minus_ten,COP
427,plus_five_ten,CNX
428,minus_five,CNSL
429,plus_five,ED
430,minus_five,STZ
431,plus_five,CLR
432,plus_five,CVG
433,plus_five,COO
434,plus_five_ten,CTB
435,plus_five,CPS
436,minus_five,CPRT
437,minus_five,CLB
438,plus_five,CORE
439,plus_five,CXW
440,minus_five_ten,CLGX
441,plus_five,COR
442,minus_five,CSOD
443,plus_five,GLW
444,minus_five,OFC
445,minus_five,CSGP
446,plus_five,COST
447,plus_ten,COTV
448,minus_five,COT
449,minus_five_ten,COTY
450,plus_five,COUP
451,minus_five,CUZ
452,minus_five,CVA
453,minus_five,CBRL
454,plus_five,CR
455,minus_five,CACC
456,minus_five,CREE
457,plus_ten,CEQP
458,minus_ten,CRTO
459,plus_five,CCI
460,minus_five,CCK
461,plus_ten,CSGS
462,minus_five_ten,CSRA
463,plus_five,CST
464,minus_five_ten,CSX
465,plus_five,CUBE
466,minus_five,CUB
467,plus_ten,CFR
468,plus_five,CMI
469,plus_five,CW
470,minus_five_ten,CVBF
471,plus_five,CVI
472,plus_five,CVRR
473,minus_five,CVS
474,plus_five,CY
475,plus_five,CONE
476,plus_five_ten,CYS
477,minus_five,DHI
478,plus_five,DAN
479,minus_five,DHR
480,plus_ten,DRI
481,plus_five,DAR
482,plus_five,PLAY
483,plus_five,DVA
484,minus_five,DPM
485,plus_five,DCT
486,minus_five,DDR
487,plus_five_ten,DF
488,minus_five,DECK
489,minus_five,DE
490,minus_five_ten,DK
491,plus_five,DVMT
492,minus_five,DLPH
493,plus_five,DAL
494,minus_five_ten,DLX
495,minus_ten,DNR
496,minus_five_ten,XRAY
497,minus_five,DEPO
498,minus_five,DERM
499,minus_ten,DVN
500,minus_five,DV
501,minus_five,DXCM
502,plus_five,DO
503,minus_ten,FANG
504,plus_five_ten,DRH
505,minus_five,DKS
506,minus_ten,DBD
507,plus_five,DLR
508,minus_five_ten,DGI
509,minus_ten,DDS
510,minus_five,DIN
511,minus_five,DIOD
512,minus_five_ten,DFS
513,plus_five,DISCA
514,plus_five,DISH
515,plus_five,DLB
516,plus_five_ten,DG
517,plus_five,DLTR
518,minus_five,DM
519,plus_five,D
520,plus_five,DPZ
521,plus_five,UFS
522,minus_five_ten,DCI
523,minus_five,DORM
524,plus_five,DEI
525,minus_five,DOV
526,plus_five,DOW
527,plus_five,DPS
528,minus_five,DW
529,plus_five,DRQ
530,minus_five_ten,DST
531,plus_five_ten,DSW
532,plus_five,DTE
533,plus_five,DUK
534,plus_five,DRE
535,minus_five,DNB
536,plus_five,DNKN
537,minus_five,DFT
538,minus_ten,DY
539,minus_five,DD
540,minus_five,ETFC
541,plus_five,SSP
542,plus_five,ELF
543,minus_five_ten,EGBN
544,minus_ten,EXP
545,minus_five,EGRX
546,plus_five,EWBC
547,plus_five,EGP
548,minus_five,EMN
549,minus_five,ETN
550,minus_ten,EV
551,plus_five_ten,EBAY
552,plus_ten,EBIX
553,plus_five,SATS
554,plus_five,ECL
555,plus_five,EPC
556,plus_five,EIX
557,minus_five,EDR
558,plus_five,EW
559,plus_five,EE
560,plus_five,EA
561,minus_five,EFII
562,minus_five,LLY
563,plus_ten,ELLI
564,minus_five_ten,EME
565,minus_five,EMR
566,plus_five,EDE
567,plus_five,ESRT
568,plus_five,EIG
569,minus_five,ENBL
570,plus_five,EEQ
571,plus_five,EEP
572,plus_five,ENB
573,minus_five,ENDP
574,minus_five,ENH
575,minus_ten,EGN
576,plus_five,ENR
577,minus_five,ETE
578,minus_ten,ETP
579,minus_five_ten,ENS
580,plus_five,EGL
581,minus_five,ENLC
582,minus_five,ENLK
583,plus_five,NPO
584,minus_five_ten,ESV
585,minus_five_ten,ENSG
586,plus_five,ESGR
587,minus_five,ENTG
588,plus_five,ETR
589,plus_five,EPD
590,plus_five,ENV
591,minus_ten,EOG
592,plus_five,EPE
593,plus_ten,EPAM
594,plus_five,EPR
595,minus_five_ten,EQT
596,plus_five,EQGP
597,plus_five,EQM
598,minus_five,EFX
599,plus_five,EQIX
600,minus_five,EQC
601,plus_five_ten,ELS
602,minus_five,EQY
603,plus_five,EQR
604,minus_five,ERIE
605,minus_five_ten,ESE
606,minus_ten,ESNT
607,plus_five,ESS
608,plus_five,EL
609,plus_five,ESL
610,plus_five_ten,ETSY
611,plus_five,EEFT
612,minus_five,EVER
613,minus_five,EVR
614,minus_five,RE
615,plus_five,ES
616,plus_five,EVTC
617,minus_five,EVH
618,plus_five,EXAS
619,minus_five,EXEL
620,minus_five,EXC
621,plus_ten,EXLS
622,plus_five,EXPE
623,minus_five_ten,EXPD
624,plus_five,EXPO
625,plus_five,ESRX
626,plus_five,STAY
627,plus_five,EXR
628,plus_five,XOG
629,minus_five,XOM
630,plus_five_ten,FNB
631,plus_five_ten,FFIV
632,plus_five,FN
633,plus_ten,FB
634,plus_five,FDS
635,minus_five,FICO
636,plus_five,FRFHF
637,minus_ten,FMSA
638,minus_five,FAST
639,plus_five_ten,FFG
640,minus_five_ten,FCB
641,plus_five,FMCC
642,plus_five,FNMA
643,minus_five,FRT
644,plus_five,FDML
645,plus_five,FII
646,minus_five_ten,FDX
647,minus_ten,FOE
648,plus_five,GSM
649,plus_five,FGEN
650,minus_five,FGL
651,minus_five,FNF
652,plus_five,FIS
653,minus_five,FITB
654,plus_five,FNGN
655,plus_five,FNSR
656,minus_ten,FEYE
657,plus_five,FAF
658,plus_five,FBP
659,minus_five,FCNCA
